the device 6
august 14 5
shake violently 5
if the 5
phunkeyduck monorover 4
about weeks 4
my return 4
was blast 4
of box 4
volume importers 3
little bit 3
are finally 3
machine was 3
experience ve 3
it still 3
attached photos 3
getting on 2
on is 2
the electronics 2
put one 2
the other 2
foot getting 2
getting off 2
the process 2
is somewhat 2
somewhat counterintuitive 2
you do 2
and or 2
left heel 2
adapted to 2
right down 2
in september 2
it ever 2
ever does 2
review sothea 2
31 and 2
it came 2
my segway 2
time say 2
and your 2
running the 2
first hour 2
left wheel 2
it after 2
literally died 2
the floor 2
second plugged 2
before the 2
worth of 2
missing when 2
casing with 2
been two 2
weeks since 2
seller and 2
is great 2
that going 2
have to 2
wait month 2
and then 2
to ship 2
in all 2
to ride 2
on it 2
that say 2
box attached 2
my foot 2
hold it 2
against wall 2
lights was 2
still not 2
benefit of 2
review about 2
the new 2
different board 2
not an 1
an erover 1
erover and 1
and not 1
not from 1
from amazon 1
amazon but 1
but probably 1
probably identical 1
identical mine 1
mine arrived 1
arrived this 1
this afternoon 1
afternoon and 1
and at 1
at age 1
age 77 1
77 mastered 1
mastered it 1
it in 1
in an 1
an hour 1
hour with 1
with no 1
no falls 1
falls used 1
used two 1
two lightweight 1
lightweight walking 1
walking sticks 1
sticks for 1
for the 1
the first 1
first two 1
two 10 1
10 minute 1
minute sessions 1
sessions getting 1
is easy 1
easy turn 1
turn it 1
it on 1
on wait 1
wait for 1
for moment 1
moment for 1
electronics to 1
to stabilize 1
stabilize put 1
one foot 1
foot firmly 1
firmly on 1
on one 1
one pad 1
pad the 1
the unit 1
unit will 1
will lock 1
lock making 1
making it 1
it easy 1
easy to 1
to step 1
step up 1
up with 1
with the 1
other foot 1
off is 1
is the 1
the reverse 1
reverse stop 1
stop take 1
take the 1
the weight 1
weight off 1
off of 1
of one 1
one side 1
side and 1
and the 1
lock then 1
then step 1
step down 1
down easy 1
easy and 1
and natural 1
natural but 1
but if 1
if you 1
you try 1
try to 1
to manage 1
manage the 1
process it 1
it can 1
can become 1
become difficult 1
difficult or 1
or even 1
even risky 1
risky control 1
control is 1
counterintuitive learning 1
learning obstacle 1
obstacle you 1
do not 1
not move 1
move forward 1
forward by 1
by leaning 1
leaning forward 1
forward nor 1
nor do 1
do you 1
you stop 1
stop by 1
leaning back 1
back it 1
it all 1
all in 1
in the 1
the ankles 1
ankles toes 1
toes down 1
down watch 1
watch it 1
it this 1
this thing 1
thing can 1
can take 1
take off 1
off to 1
to go 1
go forward 1
forward heels 1
heels down 1
down to 1
to slow 1
slow and 1
and stop 1
stop so 1
so far 1
far that 1
that ok 1
ok but 1
but to 1
to turn 1
turn left 1
left the 1
the right 1
right toe 1
toe goes 1
goes down 1
down and 1
or the 1
the left 1
heel goes 1
down the 1
reverse is 1
is true 1
true for 1
for right 1
right turn 1
turn that 1
that takes 1
takes some 1
some practice 1
practice but 1
but once 1
once you 1
you achieve 1
achieve comfort 1
comfort and 1
and all 1
all the 1
the synapses 1
synapses are 1
are adapted 1
to this 1
thing you 1
you can 1
can achieve 1
achieve incredible 1
incredible maneuverability 1
maneuverability even 1
even do 1
do spin 1
spin in 1
in one 1
one place 1
place disassembled 1
disassembled mine 1
mine and 1
and another 1
another no 1
no brand 1
brand unit 1
unit from 1
from another 1
another reseller 1
reseller and 1
and found 1
found them 1
them to 1
to be 1
be identical 1
identical right 1
to the 1
the packaging 1
packaging and 1
and internal 1
internal wiring 1
wiring though 1
though the 1
the wheel 1
wheel patterns 1
patterns differed 1
differed mine 1
mine looks 1
looks like 1
like the 1
the mercedes 1
mercedes logo 1
logo the 1
other one 1
one had 1
had small 1
small star 1
star in 1
the center 1
center there 1
there may 1
may be 1
be only 1
only two 1
two manufacturers 1
manufacturers ve 1
ve seen 1
seen and 1
and 10 1
10 wheels 1
wheels but 1
